ImageName,VietnameseName,Price
001.jpeg,COMBO 1,169000
001.jpeg,COMBO 2,169000
001.jpeg,COMBO 3,169000
001.jpeg,RƯỢU SOJU,NOT GIVEN
001.jpeg,RƯỢU VODKA,NOT GIVEN
001.jpeg,TIGER LON,NOT GIVEN
001.jpeg,TIGER CHAI,NOT GIVEN
001.jpeg,TIGER BẠC CHAI,NOT GIVEN
001.jpeg,TIGER BẠC LON,NOT GIVEN
001.jpeg,COCA,NOT GIVEN
001.jpeg,SPRITE,NOT GIVEN
001.jpeg,SUỐI,NOT GIVEN
001.jpeg,BÒ HÚC,NOT GIVEN
001.jpeg,BIA QUY NHƠN,NOT GIVEN
001.jpeg,BIA BIVINA,NOT GIVEN
001.jpeg,STRONG BOW,NOT GIVEN
002.jpeg,RAU MUỐNG XÀO TỎI,29000
002.jpeg,MỒNG TƠI XÀO TỎI,29000
002.jpeg,CẢI XÀO TỎI,29000
002.jpeg,ĐẬU BẮP XÀO TỎI,29000
002.jpeg,KHOAI TÂY CHIÊN,29000
002.jpeg,DA ẾCH CHIÊN MẮM,29000
002.jpeg,DA ẾCH CHIÊN GIÒN,29000
002.jpeg,DA ẾCH RANG MUỐI,29000
002.jpeg,ĐẬU KHUÔN CHIÊN,29000
002.jpeg,SỨA CHẤM RUỐC,35000
002.jpeg,BẮP NON XÀO HÀNH ,35000
002.jpeg,BẮP NON XÀO TÉP,39000
002.jpeg,GHẸ SỮA CHIÊN MẮM,55000
002.jpeg,GHẸ SỮA RANG MUỐI,55000
002.jpeg,CHẢ RAM TÔM ĐẤT,59000
002.jpeg,GỎI TAI HEO,55000
002.jpeg,GỎI SỨA,55000
002.jpeg,GỎI HẢI SẢN,55000
002.jpeg,CHÂN GÀ RÚT XƯƠNG LẮC ỚT TẮC,65000
002.jpeg,GỎI BÒ BÓP THẤU,65000
002.jpeg,GỎI BÒ TÁI CHANH,65000
002.jpeg,GỎI BẠCH TUỘC,65000
002.jpeg,GỎI TÔM CÔ BA,75000
003.jpeg,XÚC XÍCH ĐỨC,10000
003.jpeg,ĐẬU BẮP NƯỚNG ,25000
003.jpeg,CÀ TÍM NƯỚNG,25000
003.jpeg,CÁ BÒ TÔM VIÊN NƯỚNG ,25000
003.jpeg,BÁNH BAO NƯỚNG ,35000
