ImageName,Food,Price
002.jpeg,rau muống xào tỏi,29000
002.jpeg,mồng tơi xào tỏi,29000
002.jpeg,cải xào tỏi,29000
002.jpeg,đậu bắp xào,29000
002.jpeg,chiên,29000
002.jpeg,da ếch chiên mắm,29000
002.jpeg,da ếch chiên,29000
002.jpeg,da ếch rang muối,29000
002.jpeg,đậu khuôn chiên,29000
002.jpeg,sứa chấm ruốc,35000
002.jpeg,bắp non xào hành,35000
002.jpeg,bắp non xào tép,39000
002.jpeg,ghẹ sữa chiên mắm hot,55000
002.jpeg,hot,55000
002.jpeg,chả ram tôm đất,59000
002.jpeg,gỏi tai heo,55000
002.jpeg,gỏi sứa,55000
002.jpeg,gỏi hải sản,55000
002.jpeg,chân gà rút xương lắc ớt tắc,65000
002.jpeg,thấu,65000
002.jpeg,gỏi bò tái chanh,65000
002.jpeg,gỏi bạch tuộc,65000
002.jpeg,gỏi tôm cô ba,75000
